_id,title,main_title,year,format,barcode,category,cast,image_url,cover_source,notes
5edfcc6d7f2fab1018313854,Family Guy ,Family Guy ,,,EAN 5039036036603,ANIMATION / COMEDY,,https://i.ebayimg.com/images/i/373075357068-0-1/s-l1600.jpg,,
5ee105657f2fa81788c3ea1d,Family Guy - Happy Freakin' Christmas,Family Guy - Happy Freakin' Christmas,2006,,EAN 5039036023351,ANIMATION / COMEDY,,https://i.ebayimg.com/images/i/324123875211-0-1/s-l1600.jpg,,
5ee1055e7f2fa81788c3ea1c,Family Guy - Season 3 ,Family Guy - Season 3 ,1999,,EAN 5039036013253,ANIMATION / COMEDY,,https://i.ebayimg.com/images/i/382947701585-0-1/s-l1600.jpg,,
5ee105557f2fa81788c3ea1a,Family Guy - Season 4,Family Guy - Season 4,,,EAN 5039036026079,ANIMATION / COMEDY,,https://i.ebayimg.com/images/i/324184927161-0-1/s-l1600.jpg,,
5ee105597f2fa81788c3ea1b,Family Guy - Season 8,Family Guy - Season 8,,,EAN 5039036041126,ANIMATION / COMEDY,,https://i.ebayimg.com/images/i/383204406458-0-1/s-l1600.jpg,,
5ee1056e7f2fa81788c3ea1f,Family Guy Season 2,Family Guy Season 2,,,EAN 5039036011051,ANIMATION / COMEDY,,https://i.ebayimg.com/images/i/383570964295-0-1/s-l1600.jpg,,
5ee105517f2fa81788c3ea19,Family Guy Season Five,Family Guy Season Five,,,EAN 5039036028462,COMEDY,,https://i.ebayimg.com/images/i/383521512503-0-1/s-l1600.jpg,,
5ee105697f2fa81788c3ea1e,Family Guy Season One,Family Guy Season One,,,EAN 5039036007801,ANIMATION / COMEDY,,https://i.ebayimg.com/images/i/184234562523-0-1/s-l1600.jpg,,
5ee10ad67f2fa81788c3eaba,Fantastic 4 ,Fantastic 4 ,2005,,EAN 5039036023245,SCI-FI,,https://i.ebayimg.com/images/i/143079515742-0-1/s-l1600.jpg,,
5ee10ad87f2fa81788c3eabb,Fantastic 4 : Rise Of The Silver Surfer,Fantastic 4 : Rise Of The Silver Surfer,,,EAN 5039036035583,SCI-FI,,https://i.ebayimg.com/images/i/383282009088-0-1/s-l1600.jpg,,
5edfc81b7f2faa10180688fe,Fantastic Beasts And Where To Find Them,Fantastic Beasts And Where To Find Them,,BLURAY,5.05189E+12,SCI-FI,[],https://s4.thcdn.com/productimg/960/960/11380354-7014457346317766.jpg,upcitemdb,
5edfd0a17f2fab10183138b8,Far And Away ,Far And Away ,,,EAN 5050582041156,MUSICAL,,https://i.ebayimg.com/images/i/373075357950-0-1/s-l1600.jpg,,
5edfcbb37f2fab1018313844,Farscape ,Farscape ,,,EAN 5030305890001,SCI-FI,,https://i.ebayimg.com/images/i/303071359989-0-1/s-l1600.jpg,,
5edfcbed7f2fab1018313848,Farscape 3.1,Farscape 3.1,1999,,EAN 5030305810115,SCI-FI,,https://i.ebayimg.com/images/i/293006596113-0-1/s-l1600.jpg,,
5edfcbf37f2fab1018313849,Farscape 3.2,Farscape 3.2,1999,,EAN 5030305810122,SCI-FI,,https://i.ebayimg.com/images/i/303095722903-0-1/s-l1600.jpg,,
5edfcbf87f2fab101831384a,Farscape 3.3,Farscape 3.3,1999,,EAN 5030305810139,SCI-FI,,https://i.ebayimg.com/images/i/303135953174-0-1/s-l1600.jpg,,
5edfcc017f2fab101831384b,Farscape 3.4,Farscape 3.4,1999,,EAN 5030305810146,SCI-FI,,https://i.ebayimg.com/images/i/303135952629-0-1/s-l1600.jpg,,
5edfcc0a7f2fab101831384c,Farscape 3.5,Farscape 3.5,1999,,EAN 5030305810153,SCI-FI,,https://i.ebayimg.com/images/i/303135952914-0-1/s-l1600.jpg,,
5edfcc127f2fab101831384d,Farscape 4.1 ,Farscape 4.1 ,1999,,EAN 5030305810160,SCI-FI,,https://i.ebayimg.com/images/i/303095729055-0-1/s-l1600.jpg,,
5edfcc1f7f2fab101831384e,Farscape 4.2 ,Farscape 4.2 ,1999,,EAN 5030305810177,SCI-FI,,https://i.ebayimg.com/images/i/123689815952-0-1/s-l1600.jpg,,
5edfcc247f2fab101831384f,Farscape 4.3 ,Farscape 4.3 ,1999,,EAN 5030305810184,SCI-FI,,https://i.ebayimg.com/images/i/123659818989-0-1/s-l1600.jpg,,
5edfcc2a7f2fab1018313850,Farscape 4.4 ,Farscape 4.4 ,1999,,EAN 5030305810191,SCI-FI,,https://i.ebayimg.com/images/i/303071482204-0-1/s-l1600.jpg,,
5edfcbe57f2fab1018313847,Farscape: The Peacekeeper Wars,Farscape: The Peacekeeper Wars,,,EAN 5030305800390,SCI-FI,,https://i.ebayimg.com/images/i/123659682600-0-1/s-l1600.jpg,,
6783f6700aa2e81f1812676f,Fast & Furious 8,Fast & Furious 8,,,5.05308E+12,THRILLER / ADVENTURE,[],https://s4.thcdn.com/productimg/960/960/11437439-1114510993253208.jpg,upcitemdb,
5ee108b17f2fa81788c3ea8b,Fast And Furious 8 ,Fast And Furious 8 ,,,EAN 5053083115258,THRILLER / ADVENTURE,,https://i.ebayimg.com/images/i/133426512355-0-1/s-l1600.jpg,,
5ee108ac7f2fa81788c3ea89,Fast Furious 7,Fast Furious 7,,BLURAY,EAN 5053083106959,THRILLER / ADVENTURE,,https://i.ebayimg.com/images/i/383542064154-0-1/s-l1600.jpg,,
5edfcd327f2fab1018313863,Father Ted - Series 3,Father Ted - Series 3,1995,,EAN 5014138069230,COMEDY,,https://i.ebayimg.com/images/i/202725869786-0-1/s-l1600.jpg,,
5ee10c207f2fa81788c3eaef,Final Fantasy: The Spirits Within,Final Fantasy: The Spirits Within,,BLURAY,EAN 5050629197112,SCI-FI,,http://img.bbystatic.com/BestBuy_US/images/products/nonsku/default_movies_l.jpg,,
5ee106cf7f2fa81788c3ea3b,Finding Nemo,Finding Nemo,,,UPC 786936215595,ANIMATION / COMEDY,,https://i5.walmartimages.com/asr/29ef8385-79b8-48aa-9d11-c8f746345440_1.7b96919bfca504c6182f154815f9feec.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,,
5edfcb8e7f2fab1018313841,"Firefly, The Complete Series","Firefly, The Complete Series",,,EAN 5039036016025,SCI-FI,,https://i.ebayimg.com/images/i/124153964958-0-1/s-l1600.jpg,,
